# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
82430	Inorganics, Major, Metals	Sodium, soluble, dry atmospheric deposition, milligrams per kilogram	7440-23-5	Sodium	mg/kg
82470	Inorganics, Major, Metals	Calcium, dry atmospheric deposition, recoverable, milligrams per kilogram	7440-70-2	Calcium	mg/kg
82471	Inorganics, Major, Metals	Calcium, insoluble, dry atmospheric deposition, milligrams per kilogram	7440-70-2	Calcium	mg/kg
82472	Inorganics, Major, Metals	Calcium, soluble, dry atmospheric deposition, milligrams per kilogram	7440-70-2	Calcium	mg/kg
82473	Inorganics, Major, Metals	Magnesium, soluble, dry atmospheric deposition, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
82474	Inorganics, Major, Metals	Magnesium, insoluble, dry atmospheric deposition, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
82475	Inorganics, Major, Metals	Magnesium, dry atmospheric deposition, recoverable, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
82932	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, filtered, milligrams per liter	7440-70-2	Calcium	mg/l
82933	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, filtered, milligrams per square meter	7440-70-2	Calcium	mg/m2
82935	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, suspended, milligrams per liter	7440-70-2	Calcium	mg/l
82936	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, suspended, milligrams per square meter	7440-70-2	Calcium	mg/m2
82938	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, unfiltered, recoverable, milligrams per liter	7440-70-2	Calcium	mg/l
82939	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, unfiltered, recoverable, milligrams per square meter	7440-70-2	Calcium	mg/m2
82940	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, unfiltered, recoverable, microequivalents per liter	7440-70-2	Calcium	ueq/L
82941	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, unfiltered, milligrams per liter	7440-70-2	Calcium	mg/l
82942	Inorganics, Major, Metals	Calcium, wet atmospheric deposition, unfiltered, milligrams per square meter	7440-70-2	Calcium	mg/m2
83002	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, filtered, milligrams per liter	7439-95-4	Magnesium	mg/l
83003	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, filtered, milligrams per square meter	7439-95-4	Magnesium	mg/m2
83004	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, filtered, microequivalents per liter	7439-95-4	Magnesium	ueq/L
83005	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, suspended, milligrams per liter	7439-95-4	Magnesium	mg/l
83006	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, suspended, milligrams per square meter	7439-95-4	Magnesium	mg/m2
83007	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, suspended, microequivalents per liter	7439-95-4	Magnesium	ueq/L
83008	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, unfiltered, recoverable, milligrams per liter	7439-95-4	Magnesium	mg/l
83009	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, unfiltered, recoverable, milligrams per square meter	7439-95-4	Magnesium	mg/m2
83010	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, unfiltered, recoverable, microequivalents per liter	7439-95-4	Magnesium	ueq/L
83011	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, unfiltered, milligrams per liter	7439-95-4	Magnesium	mg/l
83012	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, unfiltered, milligrams per square meter	7439-95-4	Magnesium	mg/m2
83013	Inorganics, Major, Metals	Magnesium, wet atmospheric deposition, unfiltered, microequivalents per liter	7439-95-4	Magnesium	ueq/L
83120	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, filtered, milligrams per liter	7440-09-7	Potassium	mg/l
83121	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, filtered, milligrams per square meter	7440-09-7	Potassium	mg/m2
83122	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, filtered, microequivalents per liter	7440-09-7	Potassium	ueq/L
83123	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, suspended, milligrams per liter	7440-09-7	Potassium	mg/l
83124	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, suspended, milligrams per square meter	7440-09-7	Potassium	mg/m2
83125	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, suspended, microequivalents per liter	7440-09-7	Potassium	ueq/L
83126	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, unfiltered, recoverable, milligrams per liter	7440-09-7	Potassium	mg/l
83127	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, unfiltered, recoverable, milligrams per square meter	7440-09-7	Potassium	mg/m2
83128	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, unfiltered, recoverable, microequivalents per liter	7440-09-7	Potassium	ueq/L
83129	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, unfiltered, milligrams per liter	7440-09-7	Potassium	mg/l
83130	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, unfiltered, milligrams per square meter	7440-09-7	Potassium	mg/m2
83131	Inorganics, Major, Metals	Potassium, wet atmospheric deposition, unfiltered, microequivalents per liter	7440-09-7	Potassium	ueq/L
83138	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, filtered, milligrams per liter	7440-23-5	Sodium	mg/l
83139	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, filtered, milligrams per square meter	7440-23-5	Sodium	mg/m2
83140	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, filtered, microequivalents per liter	7440-23-5	Sodium	ueq/L
83141	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, suspended, milligrams per liter	7440-23-5	Sodium	mg/l
83142	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, suspended, milligrams per square meter	7440-23-5	Sodium	mg/m2
83143	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, suspended, microequivalents per liter	7440-23-5	Sodium	ueq/L
83144	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, unfiltered, recoverable, milligrams per liter	7440-23-5	Sodium	mg/l
83145	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, unfiltered, recoverable, milligrams per square meter	7440-23-5	Sodium	mg/m2
83146	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, unfiltered, recoverable, microequivalents per liter	7440-23-5	Sodium	ueq/L
83147	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, unfiltered, milligrams per liter	7440-23-5	Sodium	mg/l
83148	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, unfiltered, milligrams per square meter	7440-23-5	Sodium	mg/m2
83149	Inorganics, Major, Metals	Sodium, wet atmospheric deposition, unfiltered, microequivalents per liter	7440-23-5	Sodium	ueq/L
83214	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, filtered, milligrams per liter	7440-70-2	Calcium	mg/l
83215	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, filtered, milligrams per square meter	7440-70-2	Calcium	mg/m2
83216	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, filtered, microequivalents per liter	7440-70-2	Calcium	ueq/L
83217	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, suspended, milligrams per liter	7440-70-2	Calcium	mg/l
83218	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, suspended, milligrams per square meter	7440-70-2	Calcium	mg/m2
83219	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, suspended, microequivalents per liter	7440-70-2	Calcium	ueq/L
83220	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, unfiltered, recoverable, milligrams per liter	7440-70-2	Calcium	mg/l
83221	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, unfiltered, recoverable, milligrams per square meter	7440-70-2	Calcium	mg/m2
83222	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, unfiltered, recoverable, microequivalents per liter	7440-70-2	Calcium	ueq/L
83223	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, unfiltered, milligrams per liter	7440-70-2	Calcium	mg/l
83224	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, unfiltered, milligrams per square meter	7440-70-2	Calcium	mg/m2
83225	Inorganics, Major, Metals	Calcium, bulk atmospheric deposition, unfiltered, microequivalents per liter	7440-70-2	Calcium	ueq/L
83284	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, filtered, milligrams per liter	7439-95-4	Magnesium	mg/l
83285	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, filtered, milligrams per square meter	7439-95-4	Magnesium	mg/m2
83286	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, filtered, microequivalents per liter	7439-95-4	Magnesium	ueq/L
83287	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, suspended, milligrams per liter	7439-95-4	Magnesium	mg/l
83288	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, suspended, milligrams per square meter	7439-95-4	Magnesium	mg/m2
83289	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, suspended, microequivalents per liter	7439-95-4	Magnesium	ueq/L
83290	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, unfiltered, recoverable, milligrams per liter	7439-95-4	Magnesium	mg/l
83291	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, unfiltered, recoverable, milligrams per square meter	7439-95-4	Magnesium	mg/m2
83292	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, unfiltered, recoverable, microequivalents per liter	7439-95-4	Magnesium	ueq/L
83293	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, unfiltered, milligrams per liter	7439-95-4	Magnesium	mg/l
83294	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, unfiltered, milligrams per square meter	7439-95-4	Magnesium	mg/m2
83295	Inorganics, Major, Metals	Magnesium, bulk atmospheric deposition, unfiltered, microequivalents per liter	7439-95-4	Magnesium	ueq/L
83402	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, filtered, milligrams per liter	7440-09-7	Potassium	mg/l
83403	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, filtered, milligrams per square meter	7440-09-7	Potassium	mg/m2
83404	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, filtered, microequivalents per liter	7440-09-7	Potassium	ueq/L
83405	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, suspended, milligrams per liter	7440-09-7	Potassium	mg/l
83406	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, suspended, milligrams per square meter	7440-09-7	Potassium	mg/m2
83407	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, suspended, microequivalents per liter	7440-09-7	Potassium	ueq/L
83408	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, unfiltered, recoverable, milligrams per liter	7440-09-7	Potassium	mg/l
83409	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, unfiltered, recoverable, milligrams per square meter	7440-09-7	Potassium	mg/m2
83410	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, unfiltered, recoverable, microequivalents per liter	7440-09-7	Potassium	ueq/L
83411	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, unfiltered, milligrams per liter	7440-09-7	Potassium	mg/l
83412	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, unfiltered, milligrams per square meter	7440-09-7	Potassium	mg/m2
83413	Inorganics, Major, Metals	Potassium, bulk atmospheric deposition, unfiltered, microequivalents per liter	7440-09-7	Potassium	ueq/L
83420	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, filtered, milligrams per liter	7440-23-5	Sodium	mg/l
83421	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, filtered, milligrams per square meter	7440-23-5	Sodium	mg/m2
83422	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, filtered, microequivalents per liter	7440-23-5	Sodium	ueq/L
83423	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, suspended, milligrams per liter	7440-23-5	Sodium	mg/l
83424	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, suspended, milligrams per square meter	7440-23-5	Sodium	mg/m2
83425	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, suspended, microequivalents per liter	7440-23-5	Sodium	ueq/L
83426	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, unfiltered, recoverable, milligrams per liter	7440-23-5	Sodium	mg/l
83427	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, unfiltered, recoverable, milligrams per square meter	7440-23-5	Sodium	mg/m2
83428	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, unfiltered, recoverable, microequivalents per liter	7440-23-5	Sodium	ueq/L
83429	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, unfiltered, milligrams per liter	7440-23-5	Sodium	mg/l
83430	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, unfiltered, milligrams per square meter	7440-23-5	Sodium	mg/m2
83431	Inorganics, Major, Metals	Sodium, bulk atmospheric deposition, unfiltered, microequivalents per liter	7440-23-5	Sodium	ueq/L
85769	Inorganics, Major, Metals	Sodium, biota, tissue, recoverable, wet weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
85770	Inorganics, Major, Metals	Potassium, biota, tissue, recoverable, wet weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
90856	Inorganics, Major, Metals	Sodium adsorption ratio (SAR), water, estimated by regression equation, number		Sodium adsorption ratio	nu
90857	Inorganics, Major, Metals	Sodium adsorption ratio (SAR), water, unfiltered, field, number		Sodium adsorption ratio	nu
90858	Inorganics, Major, Metals	Sodium adsorption ratio (SAR), water, filtered, field, number		Sodium adsorption ratio	nu
91051	Inorganics, Major, Metals	Calcium, water, filtered, micrograms per liter	7440-70-2	Calcium	ug/l
91052	Inorganics, Major, Metals	Magnesium, water, filtered, micrograms per liter	7439-95-4	Magnesium	ug/l
91053	Inorganics, Major, Metals	Sodium, water, filtered, micrograms per liter	7440-23-5	Sodium	ug/l
91054	Inorganics, Major, Metals	Potassium, water, filtered, micrograms per liter	7440-09-7	Potassium	ug/l
91715	Inorganics, Major, Metals	Potassium, solids, 6 N hydrochloric acid extracted, recoverable, dry weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
91716	Inorganics, Major, Metals	Sodium, solids, 6 N hydrochloric acid extracted, recoverable, dry weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
91717	Inorganics, Major, Metals	Magnesium, solids, 6 N hydrochloric acid extracted, recoverable, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
